Title,Genre,Director,Actors
papanasam,"drama, thriller",jeethu joseph,"papanasam, nivetha thomas, esther anil"
hey ram,"crime, drama, history",kamal haasan,"kamal haasan, shah rukh khan, rani mukerji, hema malini"
sigappu rojakkal,"drama, thriller",bharathiraja,"kamal haasan, sridevi, bhagyaraj, goundamani"
panchatanthiram,"comedy, drama",k.s. ravikumar,"kamal haasan, simran, ramya krishnan, ramesh aravind"
varumayin niram sigappu,drama,k. balachander,"kamal haasan, sridevi, prathap pothen, dilip"
aakali rajyam,drama,k. balachander,"kamal haasan, sridevi, ramana murthi j.v., prathap pothen"
avvai shanmugi,"comedy, drama",k.s. ravikumar,"kamal haasan, meena, gemini ganesan, nassar"
unnaipol oruvan,"crime, drama, mystery",chakri toleti,"kamal haasan, mohanlal, lakshmi, anuja iyer"
swathi muthyam,"drama, family, romance",k. viswanath,"kamal haasan, radhika sarathkumar, allu arjun, sarath babu"
vettaiyaadu vilaiyaadu,"action, crime, thriller",gautham vasudev menon,"kamal haasan, jyotika, prakash raj, daniel balaji"
unnal mudiyum thambi,"drama, musical",k. balachander,"kamal haasan, seetha, gemini ganesan, aachi manorama"
sathi leelavathi,"comedy, drama",balu mahendra,"kamal haasan, ramesh aravind, kovai sarala, kalpana"
dasavatharam,"action, adventure, sci-fi",k.s. ravikumar,"kamal haasan, asin thottumkal, jaya prada, mallika sherawat"
aalavandhan,"action, thriller",suresh krishna,"kamal haasan, raveena tandon, manisha koirala, kitu gidwani"
ek duuje ke liye,"drama, musical, romance",k. balachander,"kamal haasan, rati agnihotri, madhavi, sunil thapa"
maro charithra,"drama, romance",k. balachander,"kamal haasan, saritha, madhavi, sarath babu"
raaja paarvai,"drama, romance",singeetam srinivasa rao,"kamal haasan, madhavi, y.g. mahendran, l.v. prasad"
saagar,"drama, romance",ramesh sippy,"rishi kapoor, kamal haasan, dimple kapadia, nadira"
chachi 420,"comedy, drama, family",kamal haasan,"kamal haasan, amrish puri, om puri, tabu"
sathyaa,"action, crime, drama",suresh krishna,"kamal haasan, amala akkineni, bahadur, vadivukkarasi"
vasoolraja m.b.b.s,"comedy, drama",saran,"kamal haasan, sneha, prabhu, prakash raj"
